time_seconds,position_cm,mass,paddle,trial
14.499,-10.12,keys,none,1
14.532,-9.961,keys,none,1
14.566,-9.992,keys,none,1
14.599,-10.15,keys,none,1
14.632,-10.34,keys,none,1
14.666,-10.6,keys,none,1
14.699,-10.85,keys,none,1
14.732,-10.98,keys,none,1
14.766,-11.17,keys,none,1
14.799,-11.3,keys,none,1
14.832,-11.39,keys,none,1
14.866,-11.39,keys,none,1
14.899,-11.3,keys,none,1
14.932,-11.14,keys,none,1
14.965,-11.01,keys,none,1
14.999,-10.91,keys,none,1
15.032,-10.76,keys,none,1
15.065,-10.5,keys,none,1
15.099,-10.28,keys,none,1
15.132,-10.21,keys,none,1
15.165,-10.21,keys,none,1
15.199,-10.34,keys,none,1
15.232,-10.47,keys,none,1
15.265,-10.53,keys,none,1
15.299,-10.82,keys,none,1
15.332,-11.01,keys,none,1
15.365,-11.14,keys,none,1
15.399,-11.26,keys,none,1
15.432,-11.42,keys,none,1
15.465,-11.42,keys,none,1
15.499,-11.23,keys,none,1
15.532,-11.1,keys,none,1
15.565,-11.01,keys,none,1
15.599,-10.91,keys,none,1
15.632,-10.76,keys,none,1
15.665,-10.5,keys,none,1
15.699,-10.34,keys,none,1
15.732,-10.21,keys,none,1
15.765,-10.21,keys,none,1
15.799,-10.31,keys,none,1
15.832,-10.5,keys,none,1
15.865,-10.66,keys,none,1
15.899,-10.79,keys,none,1
15.932,-10.91,keys,none,1
15.965,-11.17,keys,none,1
15.999,-11.23,keys,none,1
16.032,-11.3,keys,none,1
16.065,-11.3,keys,none,1
16.099,-11.2,keys,none,1
16.132,-11.17,keys,none,1
16.165,-11.07,keys,none,1
16.199,-10.95,keys,none,1
16.232,-10.88,keys,none,1
16.265,-10.79,keys,none,1
16.299,-10.5,keys,none,1
16.332,-10.41,keys,none,1
16.365,-10.37,keys,none,1
16.399,-10.37,keys,none,1
16.432,-10.41,keys,none,1
16.465,-10.5,keys,none,1
16.499,-10.6,keys,none,1
16.532,-10.76,keys,none,1
16.565,-10.91,keys,none,1
16.599,-10.95,keys,none,1
16.632,-11.07,keys,none,1
16.665,-10.98,keys,none,1
16.699,-11.04,keys,none,1
16.732,-10.91,keys,none,1
16.765,-10.82,keys,none,1
16.799,-10.72,keys,none,1
16.832,-10.63,keys,none,1
