,mass A,,
t,x,y,
10.844,,
10.878,,
10.911,-0.440,-3.370
10.944,,
10.978,,
11.011,-0.440,-5.274
11.044,,
11.078,,
11.111,-0.195,-6.690
11.144,,
11.178,,
11.211,9.767E-2,-7.032
11.245,,
11.278,,
11.311,0.391,-5.665
11.345,,
11.378,,
11.411,0.586,-4.053
11.445,,
11.478,,
11.511,0.733,-2.442
11.545,,
11.578,,
11.612,0.684,-2.002
11.645,,
11.678,,
11.712,0.635,-3.370
11.745,,
11.778,,
11.812,0.391,-5.225
11.845,,
11.879,,
11.912,0.000,-6.788
11.945,,
11.979,,
12.012,-0.195,-7.179
12.045,,
12.079,,
12.112,-0.391,-6.055
12.145,,
12.179,,
12.212,-0.293,-4.151
12.246,,
12.279,,
12.312,-0.293,-2.637
12.346,,
12.379,,
12.412,-0.147,-2.149
12.446,,
12.479,,
12.512,0.195,-3.028
12.546,,
12.579,,
12.613,0.342,-4.786
12.646,,
12.679,,
12.713,0.537,-6.690
12.746,,
12.779,,
12.813,0.684,-7.130
12.846,,
12.880,,
12.913,0.586,-6.397
12.946,,
12.980,,
13.013,0.293,-4.346
13.046,,
13.080,,
13.113,0.000,-2.637
13.146,,
13.180,,
13.213,-0.195,-2.051
13.247,,
13.280,,
13.313,-0.391,-3.125
13.347,,
13.380,,
13.413,-0.391,-4.932
13.447,,
13.480,,
13.514,-0.195,-6.593
13.547,,
13.580,,
13.614,-4.883E-2,-6.886
13.647,,
13.680,,
13.714,0.147,-6.251
13.747,,
13.780,,
13.814,0.537,-4.346
13.847,,
13.881,,
13.914,0.586,-2.686
13.947,,
13.981,,
14.014,0.635,-2.149
14.047,,
14.081,,
14.114,0.586,-2.979
14.147,,
14.181,,
14.214,0.537,-4.786
14.248,,
14.281,,
14.314,0.147,-6.544
14.348,,
14.381,,
14.414,0.000,-7.227
14.448,,
14.481,,
14.514,-0.293,-6.153
14.548,,
14.581,,
14.615,-0.342,-4.590
14.648,,
14.681,,
14.715,-0.195,-2.832
14.748,,
14.781,,
14.815,-9.767E-2,-2.051
14.848,,
14.882,,
14.915,0.147,-2.881
14.948,,
14.982,,
15.015,0.244,-4.542
15.048,,
15.082,,
15.115,0.537,-6.397
15.148,,
15.182,,
15.215,0.635,-6.837
15.249,,
15.282,,
15.315,0.537,-6.495
15.349,,
15.382,,
15.415,0.440,-4.786
15.449,,
15.482,,
15.515,-4.883E-2,-3.174
15.549,,
15.582,,
15.616,0.000,-2.295
15.649,,
15.682,,
15.716,-0.391,-2.832
15.749,,
15.782,,
15.816,-0.488,-4.444
15.849,,
15.883,,
15.916,-0.244,-6.104
15.949,,
15.983,,
16.016,0.000,-6.788
16.049,,
16.083,,
16.116,0.293,-6.300
16.149,,
16.183,,
16.216,0.488,-4.786
16.250,,
16.283,,
16.316,0.488,-3.174
16.350,,
16.383,,
16.416,0.586,-2.344
16.450,,
16.483,,
16.517,0.537,-2.979
16.550,,
16.583,,
16.617,0.586,-4.346
16.650,,
16.683,,
16.717,0.195,-6.202
16.750,,
16.783,,
16.817,0.000,-6.983
16.850,,
16.884,,
16.917,-0.195,-6.495
16.950,,
16.984,,
17.017,-0.293,-4.981
17.050,,
17.084,,
17.117,-0.342,-3.077
17.150,,
17.184,,
17.217,-0.244,-2.246
17.251,,
17.284,,
17.317,4.883E-2,-2.686
17.351,,
17.384,,
17.417,0.293,-4.053
17.451,,
17.484,,
17.517,0.440,-5.860
17.551,,
17.584,,
17.618,0.537,-6.934
17.651,,
17.684,,
17.718,0.537,-6.641
17.751,,
17.784,,
17.818,0.391,-5.079
17.851,,
17.885,,
17.918,-4.883E-2,-3.370
17.951,,
17.985,,
18.018,-0.195,-2.393
18.051,,
18.085,,
18.118,-0.244,-2.735
18.151,,
18.185,,
18.218,-0.293,-4.053
18.252,,
18.285,,
18.318,-0.293,-5.762
18.352,,
18.385,,
18.418,-4.883E-2,-6.641
18.452,,
18.485,,
18.518,0.195,-6.446
18.552,,
18.585,,
18.619,0.391,-5.274
18.652,,
18.685,,
18.719,0.391,-3.467
18.752,,
18.785,,
18.819,0.440,-2.393
18.852,,
18.886,,
18.919,0.488,-2.686
18.952,,
18.986,,
19.019,0.342,-3.907
19.052,,
19.086,,
19.119,0.244,-5.762
