0.0,-0.0
0.1,-2.0
0.2,-4.0
0.3,-6.0
0.4,-6.0
0.5,-5.0
0.601,-2.0
0.701,-0.0
0.801,-1.0
0.901,-3.0
1.001,-6.0
1.101,-6.0
1.201,-5.0
1.301,-3.0
1.401,-1.0
1.502,-1.0
1.602,-2.0
1.702,-4.0
1.802,-6.0
1.902,-6.0
2.002,-4.0
2.102,-2.0
2.202,-1.0
2.302,-1.0
2.402,-4.0
2.502,-5.0
2.603,-6.0
2.703,-5.0
2.803,-3.0
2.903,-1.0
3.003,-1.0
3.103,-3.0
3.203,-5.0
3.303,-6.0
3.403,-5.0
3.503,-3.0
3.604,-1.0
3.704,-1.0
3.804,-2.0
3.904,-4.0
4.004,-6.0
4.104,-6.0
4.204,-4.0
4.304,-2.0
4.404,-1.0
4.505,-2.0
4.605,-3.0
4.705,-5.0
4.805,-5.0
4.905,-4.0
5.005,-3.0
5.105,-1.0
5.205,-1.0
5.305,-3.0
5.405,-5.0
5.505,-6.0
5.606,-5.0
5.706,-4.0
5.806,-2.0
5.906,-1.0
6.006,-2.0
6.106,-4.0
6.206,-5.0
6.306,-5.0
6.406,-4.0
6.506,-2.0
6.607,-1.0
6.707,-2.0
6.807,-3.0
6.907,-5.0
7.007,-5.0
7.107,-5.0
7.207,-3.0
7.307,-2.0
7.407,-2.0
7.508,-3.0
7.608,-4.0
7.708,-5.0
7.808,-5.0
7.908,-4.0
8.008,-2.0
8.108,-2.0
8.208,-2.0
8.308,-4.0
8.408,-5.0
8.508,-5.0
8.609,-4.0
8.709,-3.0
8.809,-2.0
8.909,-2.0
9.009,-3.0
9.109,-5.0
9.209,-5.0
9.309,-4.0
9.409,-3.0
9.509,-2.0
9.61,-2.0
9.71,-3.0
9.81,-4.0
9.91,-5.0
10.01,-5.0
10.11,-4.0
10.21,-2.0
10.31,-2.0
10.41,-2.0
10.511,-3.0
10.611,-5.0
10.711,-5.0
10.811,-4.0
10.911,-3.0
11.011,-2.0
11.111,-2.0
11.211,-3.0
11.311,-4.0
11.411,-5.0
11.511,-5.0
11.612,-3.0
11.712,-2.0
11.812,-2.0
11.912,-2.0
12.012,-4.0
12.112,-5.0
12.212,-5.0
12.312,-4.0
12.412,-3.0
12.512,-2.0
12.613,-2.0
12.713,-3.0
12.813,-4.0
12.913,-5.0
13.013,-4.0
13.113,-3.0
13.213,-2.0
13.313,-2.0
13.413,-3.0
13.514,-4.0
13.614,-5.0
13.714,-5.0
13.814,-3.0
13.914,-2.0
14.014,-2.0
14.114,-2.0
14.214,-4.0
14.314,-4.0
14.414,-4.0
14.514,-4.0
14.615,-3.0
14.715,-2.0
14.815,-2.0
14.915,-3.0
15.015,-4.0
15.115,-5.0
15.215,-4.0
15.315,-3.0
15.415,-2.0
15.515,-2.0
15.616,-3.0
15.716,-4.0
15.816,-5.0
15.916,-5.0
16.016,-4.0
16.116,-2.0
16.216,-2.0
16.316,-3.0
16.416,-3.0
16.517,-4.0
16.617,-5.0
16.717,-4.0
16.817,-3.0
16.917,-2.0
17.017,-2.0
17.117,-3.0
17.217,-4.0
17.317,-5.0
17.417,-4.0
17.517,-3.0
17.618,-3.0
17.718,-2.0
17.818,-3.0
17.918,-4.0
18.018,-4.0
18.118,-4.0
18.218,-4.0
18.318,-3.0
18.418,-2.0
18.518,-3.0
18.619,-3.0
18.719,-4.0
18.819,-4.0
18.919,-4.0
19.019,-3.0
19.119,-2.0
19.219,-2.0
19.319,-3.0
19.419,-4.0
19.52,-5.0
19.62,-4.0
19.72,-3.0
19.82,-2.0
19.92,-2.0
20.02,-3.0
20.12,-4.0
20.22,-4.0
20.32,-4.0
20.42,-4.0
20.52,-3.0
20.621,-2.0
20.721,-3.0
20.821,-3.0
20.921,-4.0
21.021,-4.0
21.121,-4.0
21.221,-3.0
21.321,-2.0
21.421,-2.0
21.521,-3.0
21.622,-4.0
21.722,-4.0
21.822,-4.0
21.922,-3.0
22.022,-3.0
22.122,-2.0
22.222,-3.0
22.322,-4.0
22.422,-4.0
22.523,-4.0
22.623,-4.0
22.723,-3.0
22.823,-3.0
22.923,-3.0
23.023,-3.0
23.123,-4.0
23.223,-4.0
23.323,-4.0
23.423,-3.0
23.523,-3.0
23.624,-3.0
23.724,-3.0
23.824,-4.0
23.924,-4.0
24.024,-4.0
24.124,-4.0
24.224,-3.0
24.324,-3.0
24.424,-3.0
24.524,-4.0
24.625,-4.0
24.725,-4.0
24.825,-4.0
24.925,-3.0
25.025,-3.0
25.125,-3.0
25.225,-3.0
25.325,-4.0
25.425,-4.0
25.526,-4.0
25.626,-3.0
25.726,-3.0
25.826,-2.0
25.926,-3.0
26.026,-4.0
26.126,-4.0
26.226,-4.0
26.326,-3.0
26.426,-3.0
26.526,-3.0
26.627,-3.0
26.727,-3.0
26.827,-4.0
26.927,-4.0
27.027,-4.0
27.127,-3.0
27.227,-3.0
27.327,-3.0
27.427,-3.0
27.527,-4.0
27.628,-4.0
27.728,-4.0
27.828,-3.0
27.928,-3.0
28.028,-3.0
28.128,-3.0
28.228,-4.0
28.328,-4.0
28.428,-4.0
28.529,-4.0
28.629,-3.0
28.729,-3.0
28.829,-3.0
28.929,-3.0
29.029,-4.0
29.129,-4.0
29.229,-4.0
29.329,-3.0
29.429,-3.0
29.529,-3.0
29.63,-3.0
29.73,-4.0
29.83,-4.0
29.93,-4.0
30.03,-3.0
30.13,-3.0
30.23,-3.0
30.33,-3.0
30.43,-3.0
30.53,-4.0
30.631,-4.0
30.731,-3.0
30.831,-3.0
30.931,-3.0
31.031,-3.0
31.131,-3.0
31.231,-4.0
31.331,-4.0
31.431,-4.0
31.532,-3.0
31.632,-3.0
31.732,-3.0
31.832,-3.0
31.932,-4.0
32.032,-4.0
32.132,-4.0
32.232,-3.0
32.332,-3.0
32.432,-3.0
32.532,-3.0
32.633,-4.0
32.733,-4.0
32.833,-4.0
32.933,-4.0
33.033,-3.0
33.133,-3.0
33.233,-3.0
33.333,-3.0
33.433,-4.0
33.533,-4.0
33.634,-4.0
33.734,-3.0
33.834,-3.0
33.934,-3.0
34.034,-3.0
34.134,-4.0
34.234,-4.0
34.334,-4.0
34.434,-3.0
34.535,-3.0
34.635,-3.0
34.735,-3.0
34.835,-3.0
