t,x,y
10.842,-7.097,-7.921
10.876,-7.133,-6.882
10.909,-7.348,-5.879
10.942,-7.312,-4.804
10.976,-7.312,-4.303
11.009,-7.312,-4.016
11.042,-7.312,-3.837
11.076,-7.276,-4.088
11.109,-7.204,-4.661
11.143,-7.204,-5.413
11.176,-7.276,-6.416
11.209,-7.312,-7.168
11.243,-7.348,-8.35
11.276,-7.168,-8.995
11.309,-7.097,-9.604
11.343,-6.882,-10.25
11.376,-6.774,-10.36
11.409,-6.774,-10.46
11.443,-6.667,-10.25
11.476,-6.631,-9.927
11.509,-6.595,-9.425
11.543,-6.38,-8.565
11.576,-6.345,-7.455
11.61,-6.13,-6.416
11.643,-6.237,-5.377
11.676,-6.273,-4.589
11.71,-6.273,-4.124
11.743,-6.273,-4.124
11.776,-6.309,-4.16
11.81,-6.309,-4.768
11.843,-6.237,-5.449
11.876,-6.165,-6.13
11.91,-6.309,-7.204
11.943,-6.416,-8.171
11.977,-6.559,-9.103
12.01,-6.918,-9.962
12.043,-7.061,-10.57
12.077,-7.061,-10.79
12.11,-7.133,-10.68
12.143,-7.133,-10.39
12.177,-7.133,-9.962
12.21,-7.276,-9.353
12.243,-7.204,-8.35
12.277,-7.24,-7.383
12.31,-7.24,-6.595
12.343,-7.24,-5.879
12.377,-7.204,-5.377
12.41,-7.097,-4.697
12.444,-7.025,-4.41
12.477,-6.953,-4.303
12.51,-6.953,-4.518
12.544,-6.953,-4.983
12.577,-7.025,-5.736
12.61,-7.025,-6.165
12.644,-6.989,-6.81
12.677,-6.846,-7.706
12.71,-6.631,-8.637
12.744,-6.488,-9.138
12.777,-6.488,-9.927
12.811,-6.452,-10.32
12.844,-6.452,-10.46
12.877,-6.452,-10.64
12.911,-6.488,-10.61
12.944,-6.488,-10.25
12.977,-6.488,-9.497
13.011,-6.452,-8.243
13.044,-6.488,-7.061
13.077,-6.559,-6.237
13.111,-6.739,-5.377
13.144,-6.882,-4.589
13.178,-6.953,-4.231
13.211,-7.025,-4.016
13.244,-7.025,-4.374
13.278,-7.025,-4.983
13.311,-7.061,-5.807
13.344,-7.24,-7.204
13.378,-7.24,-7.777
13.411,-7.24,-8.279
13.444,-7.276,-9.103
13.478,-7.276,-9.819
13.511,-7.312,-10.14
13.544,-7.312,-10.18
13.578,-7.097,-9.927
13.611,-6.953,-9.747
13.645,-6.774,-9.318
13.678,-6.774,-8.565
13.711,-6.774,-7.956
13.745,-6.739,-7.097
13.778,-6.739,-6.309
13.811,-6.595,-5.485
13.845,-6.595,-4.733
13.878,-6.524,-4.518
13.911,-6.488,-4.16
13.945,-6.416,-4.231
13.978,-6.273,-4.589
14.012,-6.165,-5.449
14.045,-6.201,-6.309
14.078,-6.309,-7.24
14.112,-6.416,-8.207
14.145,-6.416,-8.78
14.178,-6.452,-9.855
14.212,-6.416,-10.75
14.245,-6.488,-11.04
14.278,-6.739,-11.14
14.312,-6.81,-10.93
14.345,-6.918,-10.64
14.378,-7.025,-10.11
14.412,-7.168,-9.031
14.445,-7.312,-7.921
14.479,-7.312,-6.667
14.512,-7.312,-5.951
14.545,-7.312,-4.912
14.579,-7.312,-4.374
14.612,-7.348,-4.267
14.645,-7.348,-4.41
14.679,-7.348,-4.625
14.712,-7.348,-5.091
14.745,-7.348,-5.485
14.779,-7.312,-6.774
14.812,-7.276,-7.562
14.846,-7.24,-8.028
14.879,-7.168,-8.888
14.912,-7.133,-9.353
14.946,-7.061,-10.21
14.979,-6.81,-10.36
